Product Name,Baseline_ROP,Optimized_ROP,Baseline_Stockout_Days,Optimized_Stockout_Days,Baseline_Fill_Rate,Optimized_Fill_Rate,Baseline_Average_Inventory,Optimized_Average_Inventory
Losartan 50mg,3.411764705882353,20.990632905875948,9,2,0.7461122379986478,0.9367277753211263,8.520184544405991,74.18143127734034
Metformin 500mg,1.6862745098039216,14.578857800586203,7,0,0.5294117647058822,1.0,7.002306805074975,54.85990355222008
Montelukast 10mg,2.8823529411764706,22.061075293447153,8,1,0.48419367747098846,0.9187828251254908,11.836601307189522,82.6627985981412
Multivitamin Syrup,3.411764705882353,20.268169254126413,15,1,0.6602434077079095,0.9957940761731403,6.97500961168781,69.90191269889252
N95 Mask,2.4117647058823533,14.330510053448148,9,1,0.684361549497848,0.9620366671012045,5.934640522875812,34.158306935023255
Nicotine Patch,3.235294117647059,18.318527161889254,11,0,0.6991087344028502,1.0,7.237216455209523,36.84793892659529
ORS Sachet,3.1764705882352944,20.317630425354263,13,0,0.5984023238925199,1.0,6.521337946943488,39.33723826849137
Omeprazole 20mg,2.019607843137255,12.499618046143691,10,1,0.6881781838949177,0.9757244470499388,3.118928617198515,39.947033389222725
Pantoprazole 40mg,2.549019607843137,15.65477742622717,10,0,0.634841628959276,1.0,5.06471869793669,37.674385269364414
Paracetamol 500mg,4.764705882352941,29.155497162915996,9,0,0.6932946017913338,1.0,12.409073433294873,108.24046448317723
Prednisolone 10mg,2.2745098039215685,14.500204436021978,8,1,0.7533806626098716,0.9956914175519136,5.677944380366517,38.69985148245952
Ranitidine 150mg,2.7254901960784315,17.20820869889651,8,0,0.8183100578360841,1.0,6.037037037037033,31.436966868831238
Salbutamol Inhaler,3.862745098039216,20.710556475916317,13,1,0.6679605852493282,0.9934546014005905,8.390747148532613,47.18011350796653
Surgical Gloves,3.4313725490196076,19.107273396369816,10,1,0.7412885154061626,0.9891844194078281,7.206330898372442,49.71521209175149
Tetanus Toxoid,3.9215686274509807,21.12961046666661,10,0,0.7894117647058824,1.0,10.27604767397156,43.1622902052289
Thermometer,2.3529411764705883,14.133731821361975,11,0,0.7892156862745098,1.0,3.6032295271049577,31.636999795218145
Thyroxine 50mcg,2.3333333333333335,14.829074586050286,9,0,0.6386554621848739,1.0,7.13725490196078,51.842146481475204
Vitamin C Tablets,3.0588235294117645,18.215971894520816,11,0,0.6259426847662143,1.0,9.017301038062287,57.510089541579504
Volini Gel,3.019607843137255,17.092079498454197,10,0,0.738986503692386,1.0,8.30744585415866,49.784889955970456
Zincovit,2.6470588235294117,15.975706239542248,10,0,0.7250544662309367,1.0,5.900422914263738,28.19139251405209
