Product Name,Total_Demand,Sales_Value,Value_Share,Cumulative_Value_Share,ABC,Mean_Demand,Std_Demand,CV,XYZ,ABC_XYZ
Loperamide 2mg,156.0,3974.88,0.007050032460393541,0.9298612687316374,B,7.090909090909091,6.809720579604891,0.9603452099442795,Y,BY
Vitamin C Tablets,156.0,3878.16,0.006878485359708925,0.9367397540913464,B,7.090909090909091,6.093783646815756,0.8593797450637605,Y,BY
Metformin 500mg,86.0,3784.0,0.006711478794360876,0.9434512328857072,B,3.909090909090909,6.140490835888261,1.5708232370876944,Z,BZ
Levocetirizine 5mg,102.0,3570.0,0.006331918418569854,0.949783151304277,B,4.636363636363637,5.10411089730112,1.100886664123771,Z,BZ
Domperidone 10mg,138.0,3568.68,0.006329577205036937,0.956112728509314,C,6.2727272727272725,7.33667771043814,1.1696152871712977,Z,CZ
N95 Mask,123.0,3444.0,0.0061084389449732705,0.9622211674542872,C,5.590909090909091,5.551997417567421,0.9930401885079939,Y,CY
Omeprazole 20mg,103.0,3310.42,0.005871515230028576,0.9680926826843158,C,4.681818181818182,4.581394710039453,0.978550326416194,Y,CY
Prednisolone 10mg,116.0,3132.0,0.005555061200829351,0.9736477438851452,C,5.2727272727272725,4.958703922270878,0.9404438473272355,Y,CY
Avil 25mg,194.0,2570.5,0.00455915862603188,0.978206902511177,C,8.818181818181818,8.157009043564713,0.925021644115586,Y,CY
Paracetamol 500mg,243.0,2449.44,0.0043444409667175755,0.9825513434778946,C,11.045454545454545,10.589650260546506,0.9587337684445397,Y,CY
Tetanus Toxoid,200.0,2270.0,0.004026177817970187,0.9865775212958648,C,9.090909090909092,5.967444143885187,0.6564188558273705,X,CX
Ranitidine 150mg,139.0,1897.3500000000001,0.0033652284065752137,0.98994274970244,C,6.318181818181818,6.636022644385456,1.0503057422768347,Z,CZ
Cetirizine 10mg,86.0,1810.3,0.003210832468665828,0.9931535821711058,C,3.909090909090909,3.7910808976193544,0.9698113924142534,Y,CY
Calpol 500mg,100.0,1495.0,0.0026516016906896166,0.9958051838617954,C,4.545454545454546,6.216163820290826,1.3675560404639817,Z,CZ
Ibuprofen 400mg,114.0,1468.3200000000002,0.0026042807989788484,0.9984094646607743,C,5.181818181818182,6.411569629055362,1.237320454729982,Z,CZ
Disprin,159.0,896.76,0.0015905353392259669,1.0000000000000002,C,7.2272727272727275,5.117028696810551,0.7080165492442272,X,CX
