Product Name,Mean_Daily_Demand,Std_Daily_Demand,Safety_Stock,Lead_Time_Demand,Reorder_Point,ABC,XYZ,ABC_XYZ,Inventory_Policy,Stockout_Days,Total_Demand,Fulfilled_Demand,Fill_Rate,Average_Inventory
Ibuprofen 400mg,0.75,2.31,10.08,5.22,15.3,C,Z,CZ,Basic Review,3,114.0,102.76779141964448,0.9,16.57
Insulin 30/70,0.99,3.07,13.4,6.95,20.36,A,Z,AZ,Frequent Review,2,152.0,143.76217774146804,0.95,23.87
Ivermectin 12mg,0.9,2.51,10.94,6.27,17.21,A,Y,AY,High Priority,1,137.0,136.14507251714755,0.99,19.35
Levocetirizine 5mg,0.67,2.5,10.93,4.67,15.59,B,Z,BZ,Periodic Review,0,102.0,102.0,1.0,19.08
Loperamide 2mg,1.02,3.01,13.14,7.14,20.28,B,Y,BY,Periodic Review,1,156.0,150.41565130750766,0.96,22.32
Losartan 50mg,1.14,2.98,13.03,7.96,20.99,A,Z,AZ,Frequent Review,1,174.0,164.0204814980264,0.94,23.08
Metformin 500mg,0.56,2.44,10.64,3.93,14.58,B,Z,BZ,Periodic Review,0,86.0,86.0,1.0,18.79
Montelukast 10mg,0.96,3.51,15.34,6.73,22.06,A,Z,AZ,Frequent Review,1,147.0,145.39666039081587,0.99,28.68
Multivitamin Syrup,1.14,2.82,12.31,7.96,20.27,A,Z,AZ,Frequent Review,1,174.0,166.57555419452734,0.96,22.6
N95 Mask,0.8,1.99,8.7,5.63,14.33,C,Y,CY,Basic Review,0,123.0,123.0,1.0,15.28
Nicotine Patch,1.08,2.47,10.77,7.55,18.32,A,Y,AY,High Priority,0,165.0,165.0,1.0,19.15
ORS Sachet,1.06,2.96,12.91,7.41,20.32,B,Y,BY,Periodic Review,1,162.0,157.22349614482619,0.97,22.92
Omeprazole 20mg,0.67,1.78,7.79,4.71,12.5,C,Y,CY,Basic Review,1,103.0,98.28681779163378,0.95,13.9
Pantoprazole 40mg,0.85,2.22,9.71,5.95,15.65,A,Z,AZ,Frequent Review,2,130.0,127.72368486830737,0.98,16.23
Paracetamol 500mg,1.59,4.13,18.04,11.12,29.16,C,Y,CY,Basic Review,0,243.0,243.0,1.0,30.49
Prednisolone 10mg,0.76,2.11,9.19,5.31,14.5,C,Y,CY,Basic Review,1,116.0,110.69321932956029,0.95,15.94
Ranitidine 150mg,0.91,2.49,10.85,6.36,17.21,C,Z,CZ,Basic Review,0,139.0,139.0,1.0,19.1
Salbutamol Inhaler,1.29,2.68,11.7,9.01,20.71,A,Y,AY,High Priority,0,197.0,197.0,1.0,20.19
Surgical Gloves,1.14,2.54,11.1,8.01,19.11,A,Y,AY,High Priority,0,175.0,175.0,1.0,20.12
Tetanus Toxoid,1.31,2.74,11.98,9.15,21.13,C,X,CX,Basic Review,0,200.0,200.0,1.0,21.4
Thermometer,0.78,1.98,8.64,5.49,14.13,A,Y,AY,High Priority,0,120.0,120.0,1.0,15.42
Thyroxine 50mcg,0.78,2.15,9.38,5.44,14.83,A,Y,AY,High Priority,0,119.0,119.0,1.0,16.25
Vitamin C Tablets,1.02,2.54,11.08,7.14,18.22,B,Y,BY,Periodic Review,2,156.0,151.58937777416168,0.97,19.17
Volini Gel,1.01,2.3,10.05,7.05,17.09,A,Y,AY,High Priority,1,154.0,153.13840736292147,0.99,17.84
Zincovit,0.88,2.24,9.8,6.18,15.98,A,Y,AY,High Priority,2,135.0,129.5498837816984,0.96,17.03
