Date,Product Name,Batch No,Expiry Date,Quantity,MRP (₹),GST (%),GST Amount (₹),Amount (₹),Month_Date,Sales Type
2025-04-13,Clotrimazole Cream,725,2026-05-01,10,302.5,12.0,324.1071429,3025.0,2025-04-01,OTC
2025-04-13,Chlorpheniramine,142,2026-12-01,4,102.29,12.0,43.83857143,409.16,2025-04-01,Prescription
2025-04-13,Combiflam,442,2026-06-01,9,55.71,12.0,53.72035714,501.39,2025-04-01,Prescription
2025-04-13,Salbutamol Inhaler,143,2026-01-01,9,73.26,12.0,70.64357143,659.34,2025-04-01,Prescription
2025-04-13,Erythromycin 250mg,377,2026-04-01,8,60.0,12.0,51.42857143,480.0,2025-04-01,Prescription
2025-04-14,Clotrimazole Cream,725,2026-05-01,5,302.5,12.0,162.0535714,1512.5,2025-04-01,OTC
2025-04-14,Metformin 500mg,115,2026-04-01,11,44.0,12.0,51.85714286,484.0,2025-04-01,Prescription
2025-04-14,Glibenclamide 5mg,226,2026-06-01,8,48.75,12.0,41.78571429,390.0,2025-04-01,Prescription
2025-04-14,Losartan 50mg,188,2027-01-01,9,96.55,12.0,93.10178571,868.95,2025-04-01,Prescription
2025-04-14,Amoxicillin 250mg,883,2026-04-01,5,40.99,12.0,21.95892857,204.95,2025-04-01,Prescription
2025-04-15,Azithromycin 500mg,930,2026-07-01,3,79.16,12.0,25.44428571,237.48,2025-04-01,Prescription
2025-04-15,Digene,338,2026-03-01,6,29.2,12.0,18.77142857,175.2,2025-04-01,Prescription
2025-04-15,Metformin 500mg,115,2026-04-01,8,44.0,12.0,37.71428571,352.0,2025-04-01,Prescription
2025-04-15,Calpol 500mg,162,2026-01-01,6,14.95,12.0,9.610714286,89.7,2025-04-01,Prescription
2025-04-15,Disprin,190,2026-05-01,1,5.64,12.0,0.6042857143,5.64,2025-04-01,Prescription
2025-04-15,Combiflam,442,2026-06-01,8,55.71,12.0,47.75142857,445.68,2025-04-01,Prescription
2025-04-15,Dexamethasone 4mg,836,2026-04-01,6,40.0,12.0,25.71428571,240.0,2025-04-01,Prescription
2025-04-15,Domperidone 10mg,812,2026-04-01,6,25.86,12.0,16.62428571,155.16,2025-04-01,Prescription
2025-04-15,Nicotine Patch,711,2025-08-01,3,85.57,12.0,27.50464286,256.71,2025-04-01,Prescription
2025-04-16,Atorvastatin 10mg,127,2026-05-01,8,55.32,12.0,47.41714286,442.56,2025-04-01,Prescription
2025-04-16,Bandage Roll,104,2026-12-01,15,22.0,12.0,35.35714286,330.0,2025-04-01,Prescription
2025-04-16,Hand Sanitizer,200,2026-01-01,6,30.0,12.0,19.28571429,180.0,2025-04-01,OTC
2025-04-16,Multivitamin Syrup,246,2025-12-01,10,170.0,12.0,182.1428571,1700.0,2025-04-01,OTC
2025-04-16,Nicotine Patch,711,2025-08-01,3,85.57,12.0,27.50464286,256.71,2025-04-01,Prescription
2025-04-17,Hand Sanitizer,200,2026-01-01,5,30.0,12.0,16.07142857,150.0,2025-04-01,OTC
2025-04-17,Disprin,190,2026-05-01,9,5.64,12.0,5.438571429,50.76,2025-04-01,Prescription
2025-04-17,Dolo 650mg,994,2026-01-01,6,33.76,12.0,21.70285714,202.56,2025-04-01,Prescription
2025-04-17,Surgical Gloves,416,2027-01-01,4,83.0,12.0,35.57142857,332.0,2025-04-01,Prescription
2025-04-17,Combiflam,442,2026-06-01,7,55.71,12.0,41.7825,389.97,2025-04-01,Prescription
2025-04-17,Multivitamin Syrup,246,2025-12-01,5,170.0,12.0,91.07142857,850.0,2025-04-01,OTC
2025-04-17,Glibenclamide 5mg,226,2026-06-01,7,48.75,12.0,36.5625,341.25,2025-04-01,Prescription
2025-04-18,Erythromycin 250mg,377,2026-04-01,7,60.0,12.0,45.0,420.0,2025-04-01,Prescription
2025-04-18,Crocin Advance,311,2026-05-01,2,20.16,12.0,4.32,40.32,2025-04-01,Prescription
2025-04-18,Omeprazole 20mg,985,2026-12-01,8,32.14,12.0,27.54857143,257.12,2025-04-01,Prescription
2025-04-18,Betadine Ointment,726,2026-05-01,3,97.0,12.0,31.17857143,291.0,2025-04-01,Prescription
2025-04-18,Tetanus Toxoid,666,2028-04-01,10,11.35,12.0,12.16071429,113.5,2025-04-01,Prescription
2025-04-18,Ivermectin 12mg,880,2026-04-01,6,177.95,12.0,114.3964286,1067.7,2025-04-01,Prescription
2025-04-18,Ciprofloxacin 500mg,201,2026-04-01,4,47.49,12.0,20.35285714,189.96,2025-04-01,Prescription
2025-04-18,Thyroxine 50mcg,303,2027-04-01,6,140.83,12.0,90.53357143,844.98,2025-04-01,Prescription
2025-04-18,Avil 25mg,723,2026-04-01,8,13.25,12.0,11.35714286,106.0,2025-04-01,Prescription
2025-04-19,Hand Sanitizer,200,2026-01-01,2,30.0,12.0,6.428571429,60.0,2025-04-01,OTC
2025-04-19,Allegra 120mg,104,2026-07-01,1,264.72,12.0,28.36285714,264.72,2025-04-01,Prescription
2025-04-19,Surgical Gloves,416,2027-01-01,3,83.0,12.0,26.67857143,249.0,2025-04-01,Prescription
2025-04-19,Dexamethasone 4mg,836,2026-04-01,7,40.0,12.0,30.0,280.0,2025-04-01,Prescription
2025-04-19,Vitamin C Tablets,360,2026-01-01,5,24.86,12.0,13.31785714,124.3,2025-04-01,OTC
2025-04-19,Cetirizine 10mg,121,2025-12-01,4,21.05,12.0,9.021428571,84.2,2025-04-01,Prescription
2025-04-19,Prednisolone 10mg,467,2025-12-01,6,27.0,12.0,17.35714286,162.0,2025-04-01,Prescription
2025-04-20,Ivermectin 12mg,880,2026-04-01,5,177.95,12.0,95.33035714,889.75,2025-04-01,Prescription
2025-04-20,Levocetirizine 5mg,587,2026-12-01,4,35.0,12.0,15.0,140.0,2025-04-01,Prescription
2025-04-20,Tetanus Toxoid,666,2028-04-01,9,11.35,12.0,10.94464286,102.15,2025-04-01,Prescription
2025-04-20,Salbutamol Inhaler,956,2026-01-01,7,73.26,12.0,54.945,512.82,2025-04-01,Prescription
2025-04-20,Allegra 120mg,104/830,2026-07-01,7,264.72,12.0,198.54,1853.04,2025-04-01,Prescription
2025-04-20,Insulin 30/70,526,2026-01-01,13,174.0,12.0,242.3571429,2262.0,2025-04-01,Prescription
2025-04-20,Disprin,190,2026-05-01,6,5.64,12.0,3.625714286,33.84,2025-04-01,Prescription
2025-04-21,Surgical Gloves,416,2027-01-01,5,83.0,12.0,44.46428571,415.0,2025-04-01,Prescription
2025-04-21,Becosules,358,2026-04-01,2,60.49,12.0,12.96214286,120.98,2025-04-01,Prescription
2025-04-21,Dolo 650mg,994,2026-01-01,9,33.76,12.0,32.55428571,303.84,2025-04-01,Prescription
2025-04-21,Ciprofloxacin 500mg,201,2026-04-01,4,47.49,12.0,20.35285714,189.96,2025-04-01,Prescription
2025-04-21,Chlorpheniramine,142,2026-12-01,7,102.29,12.0,76.7175,716.03,2025-04-01,Prescription
2025-04-21,Avil 25mg,723,2026-04-01,4,13.25,12.0,5.678571429,53.0,2025-04-01,Prescription
2025-04-22,Becosules,358,2026-04-01,8,60.49,12.0,51.84857143,483.92,2025-04-01,Prescription
2025-04-22,Zincovit,734,2026-03-01,8,115.0,12.0,98.57142857,920.0,2025-04-01,Prescription
2025-04-22,Volini Gel,994,2026-01-01,8,265.0,12.0,227.1428571,2120.0,2025-04-01,OTC
2025-04-22,Combiflam,442,2026-06-01,5,55.71,12.0,29.84464286,278.55,2025-04-01,Prescription
2025-04-22,Erythromycin 250mg,377,2026-04-01,7,60.0,12.0,45.0,420.0,2025-04-01,Prescription
2025-04-22,Pantoprazole 40mg,388,2026-04-01,1,153.15,12.0,16.40892857,153.15,2025-04-01,Prescription
2025-04-22,Surgical Gloves,416,2027-01-01,5,83.0,12.0,44.46428571,415.0,2025-04-01,Prescription
2025-04-23,Hand Sanitizer,200,2026-01-01,9,30.0,12.0,28.92857143,270.0,2025-04-01,OTC
2025-04-23,Cetirizine 10mg,384,2026-03-01,6,21.05,12.0,13.53214286,126.3,2025-04-01,Prescription
2025-04-23,Surgical Gloves,177,2027-01-01,8,83.0,12.0,71.14285714,664.0,2025-04-01,Prescription
2025-04-23,Ivermectin 12mg,880,2026-04-01,8,177.95,12.0,152.5285714,1423.6,2025-04-01,Prescription
2025-04-23,Volini Gel,994,2026-01-01,4,265.0,12.0,113.5714286,1060.0,2025-04-01,OTC
2025-04-23,Avil 25mg,723,2026-04-01,9,13.25,12.0,12.77678571,119.25,2025-04-01,Prescription
2025-04-23,Pantoprazole 40mg,388,2026-04-01,2,153.15,12.0,32.81785714,306.3,2025-04-01,Prescription
2025-04-24,Vitamin C Tablets,360,2026-01-01,9,24.86,12.0,23.97214286,223.74,2025-04-01,OTC
2025-04-24,Volini Gel,994,2026-01-01,5,265.0,12.0,141.9642857,1325.0,2025-04-01,OTC
2025-04-24,Ciprofloxacin 500mg,201,2026-04-01,2,47.49,12.0,10.17642857,94.98,2025-04-01,Prescription
2025-04-24,Prednisolone 10mg,467,2025-12-01,5,27.0,12.0,14.46428571,135.0,2025-04-01,Prescription
2025-04-24,Calpol 500mg,774,2026-07-01,3,14.95,12.0,4.805357143,44.85,2025-04-01,Prescription
2025-04-24,Atorvastatin 10mg,178,2026-05-01,9,55.32,12.0,53.34428571,497.88,2025-04-01,Prescription
2025-04-25,Clotrimazole Cream,725,2026-05-01,3,302.5,12.0,97.23214286,907.5,2025-04-01,OTC
2025-04-25,Nicotine Patch,711,2025-08-01,8,85.57,12.0,73.34571429,684.56,2025-04-01,Prescription
2025-04-25,Ranitidine 150mg,733,2025-12-01,10,13.65,12.0,14.625,136.5,2025-04-01,Prescription
2025-04-25,Digene,141,2026-03-01,6,29.2,12.0,18.77142857,175.2,2025-04-01,Prescription
2025-04-25,Tetanus Toxoid,666,2028-04-01,6,11.35,12.0,7.296428571,68.1,2025-04-01,Prescription
2025-04-25,Combiflam,322,2026-06-01,9,55.71,12.0,53.72035714,501.39,2025-04-01,Prescription
2025-04-25,Domperidone 10mg,812,2026-04-01,3,25.86,12.0,8.312142857,77.58,2025-04-01,Prescription
2025-04-25,Avil 25mg,723,2026-04-01,8,13.25,12.0,11.35714286,106.0,2025-04-01,Prescription
2025-04-26,Domperidone 10mg,812,2026-04-01,6,25.86,12.0,16.62428571,155.16,2025-04-01,Prescription
2025-04-26,Prednisolone 10mg,467,2025-12-01,9,27.0,12.0,26.03571429,243.0,2025-04-01,Prescription
2025-04-26,Thermometer,106,,5,190.0,12.0,101.7857143,950.0,2025-04-01,Prescription
2025-04-26,Thyroxine 50mcg,303,2027-04-01,5,140.83,12.0,75.44464286,704.15,2025-04-01,Prescription
2025-04-26,Chlorpheniramine,142,2026-12-01,2,102.29,12.0,21.91928571,204.58,2025-04-01,Prescription
2025-04-27,Disprin,338,2026-05-01,6,5.64,12.0,3.625714286,33.84,2025-04-01,Prescription
2025-04-27,Azithromycin 500mg,930,2026-07-01,2,79.16,12.0,16.96285714,158.32,2025-04-01,Prescription
2025-04-27,Ciprofloxacin 500mg,155,2026-04-01,10,47.49,12.0,50.88214286,474.9,2025-04-01,Prescription
2025-04-27,Domperidone 10mg,466,2026-04-01,3,25.86,12.0,8.312142857,77.58,2025-04-01,Prescription
2025-04-27,Hand Sanitizer,295,2026-01-01,10,30.0,12.0,32.14285714,300.0,2025-04-01,OTC
2025-04-27,Thyroxine 50mcg,303,2027-04-01,6,140.83,12.0,90.53357143,844.98,2025-04-01,Prescription
2025-04-27,Pantoprazole 40mg,388,2026-04-01,9,153.15,12.0,147.6803571,1378.35,2025-04-01,Prescription
2025-04-28,Dexamethasone 4mg,836,2026-04-01,10,40.0,12.0,42.85714286,400.0,2025-04-01,Prescription
2025-04-28,N95 Mask,537,2025-12-01,1,28.0,12.0,3.0,28.0,2025-04-01,Prescription
2025-04-28,Clotrimazole Cream,725,2026-05-01,7,302.5,12.0,226.875,2117.5,2025-04-01,OTC
2025-04-28,Amoxicillin 250mg,212,2026-04-01,3,40.99,12.0,13.17535714,122.97,2025-04-01,Prescription
2025-04-28,Hydroxychloroquine 200mg,397,2026-04-01,7,108.7,12.0,81.525,760.9,2025-04-01,Prescription
2025-04-28,Bandage Roll,104,2026-12-01,13,22.0,12.0,30.64285714,286.0,2025-04-01,Prescription
2025-04-28,Losartan 50mg,587,2027-01-01,6,96.55,12.0,62.06785714,579.3,2025-04-01,Prescription
2025-04-28,Paracetamol 500mg,249,2026-01-01,15,10.08,12.0,16.2,151.2,2025-04-01,Prescription
2025-04-29,Clotrimazole Cream,294,2026-05-01,8,302.5,12.0,259.2857143,2420.0,2025-04-01,OTC
2025-04-29,Dexamethasone 4mg,836,2026-04-01,7,40.0,12.0,30.0,280.0,2025-04-01,Prescription
2025-04-29,Chlorpheniramine,142,2026-12-01,8,102.29,12.0,87.67714286,818.32,2025-04-01,Prescription
2025-04-29,Omeprazole 20mg,985,2026-12-01,7,32.14,12.0,24.105,224.98,2025-04-01,Prescription
2025-04-29,Salbutamol Inhaler,956,2026-01-01,5,73.26,12.0,39.24642857,366.3,2025-04-01,Prescription
2025-04-29,Bandage Roll,104,2026-12-01,18,22.0,12.0,42.42857143,396.0,2025-04-01,Prescription
2025-04-29,Ivermectin 12mg,199,2026-04-01,9,177.95,12.0,171.5946429,1601.55,2025-04-01,Prescription
2025-04-29,Becosules,920,2026-04-01,8,60.49,12.0,51.84857143,483.92,2025-04-01,Prescription
2025-04-30,Azithromycin 500mg,930,2026-07-01,6,79.16,12.0,50.88857143,474.96,2025-04-01,Prescription
2025-04-30,Volini Gel,144,2026-01-01,7,265.0,12.0,198.75,1855.0,2025-04-01,OTC
2025-04-30,N95 Mask,537,2025-12-01,5,28.0,12.0,15.0,140.0,2025-04-01,Prescription
2025-04-30,Hydroxychloroquine 200mg,547,2026-04-01,8,108.7,12.0,93.17142857,869.6,2025-04-01,Prescription
2025-04-30,Glibenclamide 5mg,226,2026-06-01,5,48.75,12.0,26.11607143,243.75,2025-04-01,Prescription
2025-04-30,ORS Sachet,105,2025-12-01,10,28.32,12.0,30.34285714,283.2,2025-04-01,Prescription
2025-04-30,Salbutamol Inhaler,956,2026-01-01,4,73.26,12.0,31.39714286,293.04,2025-04-01,Prescription
2025-04-30,Digene,141,2026-03-01,8,29.2,12.0,25.02857143,233.6,2025-04-01,Prescription
2025-04-30,Chlorpheniramine,929,2026-12-01,5,102.29,12.0,54.79821429,511.45,2025-04-01,Prescription
2025-05-01,Montelukast 10mg,684,2027-01-01,18,140.0,12.0,270.0,2520.0,2025-05-01,Prescription
2025-05-01,Hydroxychloroquine 200mg,547,2026-04-01,9,108.7,12.0,104.8178571,978.3,2025-05-01,Prescription
2025-05-01,Vitamin C Tablets,360,2026-01-01,4,24.86,12.0,10.65428571,99.44,2025-05-01,OTC
2025-05-01,Clotrimazole Cream,294,2026-05-01,5,302.5,12.0,162.0535714,1512.5,2025-05-01,OTC
2025-05-01,Surgical Gloves,177,2027-01-01,4,83.0,12.0,35.57142857,332.0,2025-05-01,Prescription
2025-05-01,Nicotine Patch,711,2025-08-01,6,85.57,12.0,55.00928571,513.42,2025-05-01,Prescription
2025-05-01,Tetanus Toxoid,328,2028-04-01,8,11.35,12.0,9.728571429,90.8,2025-05-01,Prescription
2025-05-01,Clotrimazole Cream,294,2026-05-01,4,302.5,12.0,129.6428571,1210.0,2025-05-01,OTC
2025-05-01,Omeprazole 20mg,985,2026-12-01,2,32.14,12.0,6.887142857,64.28,2025-05-01,Prescription
2025-05-02,Thermometer,106,,2,190.0,12.0,40.71428571,380.0,2025-05-01,Prescription
2025-05-02,Levocetirizine 5mg,134,2026-12-01,10,35.0,12.0,37.5,350.0,2025-05-01,Prescription
2025-05-02,Surgical Gloves,177,2027-01-01,8,83.0,12.0,71.14285714,664.0,2025-05-01,Prescription
2025-05-02,Combiflam,322,2026-06-01,2,55.71,12.0,11.93785714,111.42,2025-05-01,Prescription
2025-05-02,Bandage Roll,380,2026-12-01,6,22.0,12.0,14.14285714,132.0,2025-05-01,Prescription
2025-05-03,Insulin 30/70,526,2026-01-01,12,174.0,12.0,223.7142857,2088.0,2025-05-01,Prescription
2025-05-03,Ranitidine 150mg,733,2025-12-01,11,13.65,12.0,16.0875,150.15,2025-05-01,Prescription
2025-05-03,Salbutamol Inhaler,956,2026-01-01,6,73.26,12.0,47.09571429,439.56,2025-05-01,Prescription
2025-05-03,Disprin,338,2026-05-01,6,5.64,12.0,3.625714286,33.84,2025-05-01,Prescription
2025-05-03,Amoxicillin 250mg,703,2027-07-01,6,40.99,12.0,26.35071429,245.94,2025-05-01,Prescription
2025-05-04,ORS Sachet,105,2025-12-01,6,39.41,12.0,25.335,236.46,2025-05-01,Prescription
2025-05-04,Cetirizine 10mg,384,2026-03-01,5,21.05,12.0,11.27678571,105.25,2025-05-01,Prescription
2025-05-04,Dolo 650mg,187,2026-01-01,4,33.76,12.0,14.46857143,135.04,2025-05-01,Prescription
2025-05-04,Ibuprofen 400mg,395,2026-05-01,10,12.88,12.0,13.8,128.8,2025-05-01,Prescription
2025-05-04,Ivermectin 12mg,199,2026-04-01,6,177.95,12.0,114.3964286,1067.7,2025-05-01,Prescription
2025-05-04,Prednisolone 10mg,467,2025-12-01,7,27.0,12.0,20.25,189.0,2025-05-01,Prescription
2025-05-05,Salbutamol Inhaler,956,2026-01-01,4,73.26,12.0,31.39714286,293.04,2025-05-01,Prescription
2025-05-05,Combiflam,322,2026-06-01,4,55.71,12.0,23.87571429,222.84,2025-05-01,Prescription
2025-05-05,Omeprazole 20mg,985,2026-12-01,3,32.14,12.0,10.33071429,96.42,2025-05-01,Prescription
2025-05-05,Crocin Advance,311,2026-05-01,5,20.16,12.0,10.8,100.8,2025-05-01,Prescription
